code;syll_lang_swe;syll_lang_eng;content;goals_swe;goals_eng;eligibility;literature;exam_comments;req_for_grade;valid_from;equipment;instruction_lang;cycle;credits;title_swe;title_eng;grade_scale;department;examiner;n_exam_modules;n_course_subjects;ethics_keywords;n_rows;n_ilos;n_higher_grade_ilos;n_purpose_ilos;bloom_knowledge;bloom_comprehension;bloom_application;bloom_analysis;bloom_evaluation;bloom_synthesis;total_highest_bloom
SF1514;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Christina Marianne Carlsund Levin);3;1;1;5;4;0;0;1;0;0;0;1;2;5
SF1516;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;9.0;1;1;AF;SCI/Matematik;(Anna Nissen);5;1;1;6;5;0;0;1;0;1;0;1;2;5
SF1519;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;9.0;1;1;AF;SCI/Matematik;(Katarina Gustavsson);5;1;1;6;5;0;0;1;0;1;0;1;2;5
SF1520;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Katarina Gustavsson);3;1;1;6;5;0;0;1;0;1;0;1;2;5
SF1521;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;3.0;1;1;AF;SCI/Matematik;(Mac Panahbehagh);1;1;1;6;5;0;0;1;0;1;0;1;2;5
SF1522;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Mac Panahbehagh);2;1;1;6;5;0;0;1;0;1;0;1;2;5
SF1523;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Mattias Sandberg);2;1;1;5;3;0;0;0;0;2;0;0;0;2
SF1525;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Katarina Gustavsson);3;0;0;6;4;0;0;1;0;0;0;1;2;5
SF1544;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Anna-Karin Tornberg);3;1;1;5;4;0;0;1;0;0;0;1;2;5
SF1545;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Ozan Öktem);3;1;1;5;4;0;0;1;0;0;0;1;2;5
SF1546;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Christina Marianne Carlsund Levin);3;1;1;5;4;0;0;1;0;0;0;1;2;5
SF1547;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Katarina Gustavsson);3;1;1;5;4;0;0;1;0;0;0;1;2;5
SF1550;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Olof Runborg);3;0;0;7;5;0;0;0;1;0;0;2;2;5
SF1610;swedish;english;1;1;1;1;0;1;0;0;0;Engelska;1;7.5;1;1;AF;SCI/Matematik;(Georg Oberdieck);1;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1624;swedish;english;1;1;1;1;0;1;1;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Maria Saprykina,Tommy Ekola);1;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1625;swedish;english;1;1;1;1;0;1;1;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Erik Lindgren);1;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1626;swedish;english;1;1;1;1;0;1;1;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Roy Skjelnes);1;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1627;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;9.0;1;1;AF;SCI/Matematik;(Henrik Shah Gholian);2;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1633;swedish;english;1;1;1;1;0;1;1;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Kevin Schnelli,Kurt Johansson);1;2;0;3;2;0;0;0;0;1;0;0;0;2
SF1661;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Hans Thunberg);1;1;0;4;3;0;0;0;0;0;0;0;2;5
SF1662;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Svante Linusson);1;1;0;3;2;0;0;0;0;1;0;0;0;2
SF1668;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;10.0;1;1;AF;SCI/Matematik;(Christina Marianne Carlsund Levin,Klaus Kröncke);3;1;0;7;3;0;2;0;0;2;0;0;0;2
SF1671;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Petter Brändén);1;1;0;3;2;0;0;0;0;1;0;0;0;2
SF1672;swedish;english;1;1;1;1;0;1;0;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Tilman Bauer);2;1;0;3;2;0;0;0;0;1;0;0;0;2
SF1673;swedish;english;1;1;1;1;0;1;1;0;0;Svenska;1;7.5;1;1;AF;SCI/Matematik;(Danijela Damjanovic);1;1;0;3;2;0;0;0;0;1;0;0;0;2
